
2024/04/02 (17:06:48) | ===> btop++ v.1.3.2
2024/04/02 (17:06:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/02 (17:23:19) | ===> btop++ v.1.3.2
2024/04/02 (17:23:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/02 (21:42:52) | ===> btop++ v.1.3.2
2024/04/02 (21:42:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/04 (16:40:46) | ===> btop++ v.1.3.2
2024/04/04 (16:40:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
